시도,시군,업종,업소명,연락처,주소,메뉴1,가격1,메뉴2,가격2,메뉴3,가격3,메뉴4,가격4
서울특별시,종로구,숙박업,호텔 라와,02-741-4455,서울특별시 종로구 수표로26길 3,평일(일~목) 저녁,55000,금요일 저녁,95000,토요일 저녁,120000,,
서울특별시,종로구,미용업,현미용실,,서울특별시 종로구 지봉로17길 12,커트,12000,파마,40000,,,,
서울특별시,종로구,한식,인사동칼국수,02-737-1151,서울특별시 종로구 인사동5길 25,칼국수,7500,된장찌개,7500,순두부,7500,,
서울특별시,종로구,미용업,믿음미용실,,서울특별시 종로구 계동길 91,커트,8000,파마,25000,,,,
서울특별시,종로구,한식,눈나무집,02-739-6742,서울특별시 종로구 삼청로 136-1,김치말이국수,7000,김치볶음밥,7000,,,,
서울특별시,종로구,한식,홍순두부,,서울특별시 종로구 명륜길 50 1층,홍순두부,5500,돼지고기 순두부,5800,,,,
서울특별시,종로구,한식,청정바지락칼국수,02-743-6557,서울특별시 종로구 창신길 11,칼국수,7000,보리비빔밥,6000,,,,
서울특별시,종로구,기타비요식업,재희플라워,02-739-9386,"서울특별시 종로구 새문안로3길 12, 지층 1호",꽃다발(중),25000~45000,꽃다발(대),50000~70000,장미꽃 한송이,5000~9000,,
서울특별시,종로구,기타요식업,세종커피,,"서울특별시 종로구 세종대로23길 54, 지층 26호",아메리카노,2700,카페라떼,3700,에이드/스무디,4700,,
서울특별시,종로구,한식,효자왕족발,02-735-7601,서울특별시 종로구 자하문로 31-2,보쌈정식(점심),9000,쟁반막국수,9000,,,,
서울특별시,종로구,기타요식업,토리베이커리,,서울특별시 종로구 옥인길 30-3,막걸리식빵,4000,화이트롤케이크,12000,,,,
서울특별시,종로구,한식,서울풍경,02-735-7799,서울특별시 종로구 북촌로5길 39,"정식 (제육,뚝불,고등어조림,된장찌개)",16000,왕돈가스,11000,,,,
서울특별시,종로구,한식,서울식당,02-764-7587,서울특별시 종로구 창신길 50,백반,8000,,,,,,
서울특별시,종로구,한식,진미김밥,02-2268-0069,서울특별시 종로구 종로46길 28,유부김밥,4000,묵은지참치김밥,6000,,,,
서울특별시,종로구,한식,옛촌,02-745-1235,서울특별시 종로구 종로44길 94,돼지갈비김치찜,13000,동태탕,11000,제육볶음,10000,,
서울특별시,종로구,기타요식업,스윗샐러드,02-733-3225,"서울특별시 종로구 종로1길 50, 지하1층",버섯샐러드,8500,닭가슴살샐러드,9500,,,,
서울특별시,종로구,한식,종가대박집,02-744-4888,서울특별시 종로구 종로 307,암퇘지삼겹살(170g),14000,대박삼겹살(110g),5500,,,,
서울특별시,종로구,한식,꽃보다예쁜한미영꽃백숙,,서울특별시 종로구 창신길 18,능이영계탕앤찰밥,15000,능이반계탕앤찰밥,9000,,,,
서울특별시,종로구,기타비요식업,정사진,02-745-0828,"서울특별시 종로구 창덕궁1길 41, 2층",증명사진,25000,가족사진(3명),120000,,,,
서울특별시,종로구,한식,금하낙지마당,02-765-4412,서울특별시 종로구 종로35길 40,낙지볶음,11000,낙지철판볶음(중),45000,,,,
서울특별시,종로구,한식,백제고기집,02-764-7718,서울특별시 종로구 종로35길 31,육회(500g),42000,차돌박이(500g),50000,,,,
서울특별시,종로구,한식,복코돼지,02-2271-5989,서울특별시 종로구 종로 232,김치찌개(점심),8000,황태해장국(점심),8000,제육볶음(점심),8000,,
서울특별시,종로구,한식,국수전문점,02-2275-7443,서울특별시 종로구 종로 246,잔치국수,5000,비빔국수,6000,,,,
서울특별시,종로구,중식,남도식당,02-2234-5544,서울특별시 종로구 종로 374-1,짜장면,3500,우동,3500,탕수육,4000,,
서울특별시,종로구,한식,장원식당,02-6777-1437,서울특별시 종로구 창신5나길 3,우거지뼈해장국,8000,잔치/비빔국수,6000,회냉면,8000,,
서울특별시,종로구,한식,동대문 한국통닭,02-747-2443,서울특별시 종로구 종로 304,통닭 1마리,4500,통닭 2마리,8000,통닭 3마리,11000,,
서울특별시,종로구,중식,중국,02-737-8055,서울특별시 종로구 자하문로33길 2,짜장면,6000,짬뽕,8000,탕수육,22000,,
서울특별시,종로구,기타요식업,샐러드하우스,02-722-5891,"서울특별시 종로구 새문안로5가길 28, 지층 119호",에그듬뿍샌드위치,5500,그린샐러드,7000,닭가슴살샐러드,7000,,
서울특별시,종로구,일식,카츠연,,"서울특별시 종로구 삼봉로 81, 지층 136호",등심돈카츠정식,9500,카레카츠정식,10500,,,,
서울특별시,종로구,한식,육미,02-738-0122,서울특별시 종로구 종로9길 18,쭈꾸미덮밥(점심),9000,해물순두부탕(점심),7000,고등어/굴비구이(점심),9000,,
서울특별시,종로구,한식,불백당,02-722-0086,서울특별시 종로구 우정국로2길 34,고추장불백,5500,갈비양념불백,5500,오삼불백,6500,,
서울특별시,종로구,한식,수인인사동닭한마리,070-7716-0082,서울특별시 종로구 인사동10길 23-8,삼계탕,13000,,,,,,
서울특별시,종로구,숙박업,호텔 컬리넌,02-744-8441,서울특별시 종로구 수표로26길 6,스탠다드(월~목),50000,스탠다드(금),70000~80000,스탠다드(토),100000~110000,,
서울특별시,종로구,한식,완판생국수,02-2272-0066,서울특별시 종로구 종로 258,멸치국수,6000,콩국수,9000,,,,
서울특별시,종로구,한식,청년밥상문간 슬로우점,,"서울특별시 종로구 동숭3길 33, 지하1층",김치찌개,3000,,,,,,
서울특별시,종로구,한식,동문식당,,서울특별시 종로구 종로 300-1,콩나물비빔밥,5000,소고기콩나물밥,7000,,,,
서울특별시,종로구,한식,창신숯불돼지갈비,02-766-5861,서울특별시 종로구 종로 322-11,돼지갈비정식,10000,생선구이정식,10000,,,,
서울특별시,종로구,기타요식업,착한커피공장,02-738-7774,서울특별시 종로구 자하문로7길 66,아메리카노,2000,카페라떼,3500,허브티,3000,,
서울특별시,종로구,한식,체부동잔치집,02-730-5420,서울특별시 종로구 자하문로1길 16,잔치국수,5000,비빔국수,6000,,,,
서울특별시,종로구,한식,이모네감자탕,02-733-7314,서울특별시 종로구 새문안로9길 29-3,뼈해장국,9000,,,,,,
서울특별시,종로구,한식,현궁,02-736-3369,"서울특별시 종로구 종로1길 42, 지하1층",철판제육쌈밥,10000,,,,,,
서울특별시,종로구,한식,흥진옥,02-732-2214,서울특별시 종로구 종로5길 19-12,뼈해장국,10000,,,,,,
서울특별시,종로구,한식,인사동보리밥,,"서울특별시 종로구 인사동7길 37, 지하1층",제육보리밥정식,14900,,,,,,
서울특별시,종로구,한식,을밀대(소문난국밥전문),02-742-1633,서울특별시 종로구 수표로 131,우거지해장국,3000,,,,,,
서울특별시,종로구,양식,리브포나우,0507-1379-3315,"서울특별시 종로구 새문안로5가길 28, 지하1층 121호",아라비아따(토마토파스타),13500,제철주먹밥,3500,홍차,3000,,
서울특별시,종로구,기타요식업,유로시안커피전문점,02-2268-1007,서울특별시 종로구 종로40길 4,아메리카노(16oz) 포장,1500,아메리카노(1L) 포장,2500,,,,
서울특별시,종로구,한식,둘리분식,02-744-8626,서울특별시 종로구 창경궁로34길 15,된장찌개,4000,제육덮밥,4000,비빔밥,3500,,
서울특별시,종로구,한식,맛밥김밥전문점,02-747-5425,서울특별시 종로구 창경궁로 269,돈가스,7500,떡만둣국,7500,라볶이,6000,,
서울특별시,종로구,한식,콩쥐팥쥐,02-747-5249,"서울특별시 종로구 지봉로 84, 1층 102호",돌솥비빔밥,8000,국물떡볶이,5000,제육덮밥,8000,,
서울특별시,종로구,한식,원준네식당,02-765-5454,서울특별시 종로구 지봉로17길 36,왕돈가스,9000,갈비탕,9000,,,,
서울특별시,종로구,한식,천만참숯구이,070-7537-2179,서울특별시 종로구 지봉로 80,생목고기(200g),15000,김치찌개,6000,사골청국장,6000,,
서울특별시,종로구,기타요식업,커피&분식,02-743-5719,서울특별시 종로구 지봉로5길 25,아메리카노(hot),2000,카라멜마끼아또(hot),3000,카페라떼(hot),3000,,
서울특별시,종로구,기타요식업,사직로커피,02-723-3737,서울특별시 종로구 사직로 108,아메리카노,3500,아메리카노(2잔세트),6500,아메리카노(3잔세트),9500,,
서울특별시,종로구,일식,온마츠,0507-1366-9041,"서울특별시 종로구 평창문화로 45-1, 1층 1호",숙성등심카츠,11800,온마츠우동,7300,우삼겹타래덮밥,11300,,
서울특별시,종로구,기타비요식업,삼육당구장,02-2267-6285,"서울특별시 종로구 대학로2길 72, 301호",1시간,10200,,,,,,
서울특별시,종로구,기타요식업,빈마마파파,,서울특별시 종로구 종로39길 11,아메리카노,2000,아이스티,2500,,,,
서울특별시,종로구,한식,남원추어탕,02-762-8889,서울특별시 종로구 율곡로30길 21,추어탕,9000,추어튀김(중),13000,,,,
서울특별시,종로구,한식,마로화적,02-763-0315,서울특별시 종로구 성균관로16길 5,양념소갈비(180g),19500,생소갈비(150g),19500,차돌된장찌개솥밥,9000,,
서울특별시,중구,한식,영자씨우동김밥,02-2272-9791,서울특별시 중구 마른내로 15-1 (저동2가),김치찌개,7000,김밥 (야채),3500,카레덮밥,8000,,
서울특별시,중구,한식,코너집,02-2279-6266,"서울특별시 중구 퇴계로 336 ,1층101호(광희동2가,성진오피스텔)",된장찌개,8000,돈가스,8000,순두부,8000,,
서울특별시,중구,한식,광희식당,02-2265-1555,서울특별시 중구 장충단로 212-2 (광희동2가),된장찌개,7000,비빔밥,7000,갈비탕,9000,,
서울특별시,중구,한식,우리집 맛자랑,02-319-8939,서울특별시 중구 퇴계로20길 26 (남산동2가),된장찌개,7000,김치찌개,7000,청국장,8000,,
서울특별시,중구,한식,돈우가식당,02-3789-1313,"서울특별시 중구 남대문로 25-17,1층(북창동)",김치찌개,7000,삼겹살(200g),11000,한우소머리국밥,8000,,
서울특별시,중구,한식,장수보리밥,02-2252-2808,서울특별시 중구 퇴계로85길 12-4 (황학동),보리밥,8000,고기쌈밥,12000,야채쌈밥,9000,,
서울특별시,중구,한식,형제정육식당,02-2235-9902,"서울특별시 중구 다산로40길 56 ,1층(신당5동)",된장찌개,7000,김치찌개,7000,제육볶음,7000,,
서울특별시,중구,한식,흑돈연가,02-2234-7854,"서울특별시 중구 퇴계로88길 20,1층 (신당5동)",점심백반,7000,삼겹살 (180g),15000,,,,
서울특별시,중구,미용업,채미미용실,02-2234-8339,서울특별시 중구 다산로 101 (신당동),커트,10000,펌,30000,,,,
서울특별시,중구,세탁업,일광사,02-2238-6492,서울특별시 중구 다산로 33다길 29 (신당동),드라이크리닝(양복 상하의),10000,하의 수선,4000,롱패딩세탁,15000,,
서울특별시,중구,중식,유가,02-3789-9688,"서울특별시 중구 퇴계로12길 68,1층 (회현동1가)",자장면,7000,,,,,,
서울특별시,중구,한식,민정이네,02-312-1420,서울특별시 중구 만리재로 37길 21(만리동1가),점심백반,7000,,,,,,
서울특별시,중구,한식,충정로김밥,02-313-1006,"서울특별시 중구 서소문로6길 34,1층108호(중림동,성요셉아파트상가)",충정로김밥,3000,참치김밥,4000,김치찌개,7000,,
서울특별시,중구,한식,거목식당,02-2263-0010,서울특별시 중구 을지로36길 18(을지로5가),된장찌개,7000,순두부찌개,7000,,,,
서울특별시,중구,한식,풍년식당,02-2272-0870,서울특별시 중구 퇴계로36가길 47(필동2가),가정식백반,7000,,,,,,
서울특별시,중구,한식,이조식당,02-365-5993,"서울특별시 중구 청파로103길 33,1층(중림동)",콩나물비빔밥,7000,잔치국수,7000,,,,
서울특별시,중구,기타요식업,신빙고,02-2235-8819,"서울특별시 중구 동호로12길 93,1층(신당동)",아메리카노,2300,복숭아아이스티,2300,플레인크로플,2800,,
서울특별시,중구,한식,명동얼큰수제비,02-752-7649,서울특별시 중구 남대문로 64,김치찌개,8000,된장찌개,8000,소고기김밥,4500,,
서울특별시,중구,한식,345국수,02-2237-5257,서울특별시 중구 청구로 83-9 1층,손수제비,8000,잔치국수,7000,칼국수,7000,,
서울특별시,중구,한식,옛날홍두깨손칼국수,02-2231-1458,서울특별시 중구 동호로7길 32,손수제비,6000,잔치국수,4000,야채비빔밥,5000,,
서울특별시,중구,한식,왕비집 명동본점,02-3789-1945,서울특별시 중구 명동8가길 26 2층,한우 등심구이(140g),45000,한우 육회(150g),29000,,,,
서울특별시,중구,한식,명동중앙점 왕비집,02-776-2361,서울특별시 중구 명동8나길 45 2층,한우 등심구이(140g),45000,한우 육회(150g),29000,,,,
서울특별시,중구,한식,왕비집 명동2호점,02-3789-1946,서울특별시 중구 명동9길 13 2층,한우 등심구이(140g),45000,한우 육회(150g),29000,,,,
서울특별시,중구,한식,왕비집 육호점,02-3789-1544,서울특별시 중구 남대문로 64 2층 203호,한우 등심구이(140g),45000,한우 육회(150g),29000,,,,
서울특별시,중구,한식,왕비집 시청무교점,02-755-9229,서울특별시 중구 무교로 19 2층,한우 등심구이(140g),46000,한우 육회(150g),29000,,,,
서울특별시,중구,미용업,고은미용실,02-2268-9849,서울특별시 중구 충무로 14-1 (충무로3가) 1층,커트,12000,파마,40000,,,,
서울특별시,중구,한식,대박물갈비,02-755-6974,서울특별시 중구 퇴계로4길 7 (남창동) 1층,제육볶음,9000,돼지불고기,9000,,,,
서울특별시,중구,기타비요식업,로이필라테스,02-2231-8484,서울특별시 중구 퇴계로 461 (황학동) 1501호,필라테스 개인레슨 10회,660000,,,,,,
서울특별시,중구,한식,산과들그리고바다,02-2277-7887,서울특별시 중구 을지로14길 22 (을지로3가) 1층,모듬돌솥비빔밥,10000,,,,,,
서울특별시,중구,한식,이모분식,02-2279-3897,서울특별시 중구 충무로 43-2 (초동) 1층,김밥,4000,라면,4500,제육덮밥,8500,,
서울특별시,중구,기타요식업,콩다방,02-2274-1678,서울특별시 중구 마른내로 50 (인현동1가) 1층,아메리카노,1800,카페라떼,2900,,,,
서울특별시,중구,중식,공화춘,02-723-4038,"서울특별시 중구 청파로 457-1, 2층",짜장면,7000,짬뽕,8000,,,,
서울특별시,중구,기타요식업,바재커피,02-776-5577,서울특별시 중구 남대문시장8길 25,아메리카노(힛),2000,아메리카노(아이스),2500,카페라떼(핫),3000,,
서울특별시,중구,한식,뉴욕스넥,02-2274-1110,"서울특별시 중구 을지로 지하 131, 을지로3구역지하 56호",야채김밥,3500,칼국수,7000,,,,
서울특별시,중구,한식,이원,02-2273-5568,서울특별시 중구 동호로 37길 33-16,칼국수,7000,만두,6000,,,,
서울특별시,중구,미용업,중림헤어,02-365-2220,"서울특별시 중구 청파로 425-1, 1층",남성커트,9000,남성염색,13000,여성커트,10000,여성펌,30000
서울특별시,중구,미용업,신라미용실,02-2267-0896,"서울특별시 중구 퇴계로 217, 1층 36호, 37호",남성커트,10000,여성커트,15000,펌,35000,,
서울특별시,중구,중식,하우마라탕,0507-1405-5357,"서울특별시 중구 퇴계로27길 42, 2층",소고기 마라탕,9000,,,,,,
서울특별시,중구,한식,동경우동집,02-2274-3440,"서울특별시 중구 충무로 48, 1층 1호",우동,5000,카레라이스,6500,,,,
서울특별시,중구,한식,동경우동,02-2277-3223,"서울특별시 중구 퇴계로27길 16, 1층 105호",우동,5000,카레라이스,6500,,,,
서울특별시,용산구,한식,화로가,02-798-8480,서울특별시 용산구 한강대로 39길 5,돌솥비빔밥,10000,생선구이정식,10000,,,,
서울특별시,용산구,양식,감베로니,02-3273-1791,서울특별시 용산구 한강대로 81길 5,돈 까 스 (1인분),9000,파스타,8000,,,,
서울특별시,용산구,한식,풍년숯불갈비,02-719-6530,서울특별시 용산구 새창로 130,돌솥비밤밥,9000,뚝배기불고기,9000,된장찌개,8000,,
서울특별시,용산구,한식,흑돈연가,02-797-8060,서울특별시 용산구 한강대로 76길 11-2,돼지스떼끼,18000,생등심한우(180g),38000,,,,
서울특별시,용산구,중식,한일각,02-796-2557,서울특별시 용산구 보광로 21-1 2층,자장면,4000,짬뽕,5000,,,,
서울특별시,용산구,한식,일공오삼겹살,02-3273-0105,서울특별시 용산구 백범로87길 52,된장찌개,8000,김치찌개,8000,순두부찌개,8000,,
서울특별시,용산구,한식,면마루,02-797-3449,"서울특별시 용산구 신흥로 86, 2층",물냉면,9000,칼국수,9000,제육볶음,8000,,
서울특별시,용산구,한식,용산풍천숯불민물장어,02-749-5905,서울특별시 용산구 한강대로39길 10,손칼국수,6500,손칼국수만두,7000,,,,
서울특별시,용산구,일식,원돈까스우동,02-797-9718,서울특별시 용산구 서빙고로65길 10,원우동,7000,야채비빔밥,8000,돈까스+(우동/도시락),9000,,
서울특별시,용산구,한식,용산픙천장어마을,02-711-1139,서울특별시 용산구 백범로 318,추어장어탕,11000,,,,,,
서울특별시,용산구,한식,영광정육식당,02-798-2423,서울특별시 용산구 서빙고로91나길 104,곰탕,9000,청국장,8000,,,,
서울특별시,용산구,기타요식업,커피스모키,,"서울특별시 용산구 한강대로30길 25, 지하1층 26호",아메리카노,2900,콜드브루,3400,헤이즐넛아메리카노,3200,,
서울특별시,용산구,한식,용대박,02-718-8853,"서울특별시 용산구 원효로83길 13-5 101, 102호",순대국,8000,비빔국수,5000,김치찌개,9000,,
서울특별시,용산구,한식,진미식당,02-703-6842,"서울특별시 용산구 백범로 90길 46, 1층",오징어볶음,10000,,,,,,
서울특별시,용산구,한식,부자식당,02-797-9046,서울특별시 용산구 대사관로24길 13,고등어쌈밥정식,12000,불고기쌈밥정식,11000,,,,
서울특별시,용산구,한식,장원,02-711-8948,서울특별시 용산구 원효로19길 34,"오늘의메뉴(백반,찌개류)",9000,오늘의메뉴(불고기류),10000,,,,
서울특별시,용산구,한식,호정식당,02-794-3295,서울특별시 용산구 보광로 17,삼겹살(200g),13000,오겹살(200g),13000,,,,
서울특별시,용산구,한식,지혜식당,02-706-5255,서울특별시 용산구 이촌로18길 21-15,가정식백반,9000,,,,,,
서울특별시,용산구,한식,친구의천(후랜드천),02-790-9415,서울특별시 용산구 장문로 88,즉석떡볶이,5000,,,,,,
서울특별시,용산구,한식,경리단578,02-798-6577,서울특별시 용산구 녹사평대로 226,부대찌개,10000,짜글이,10000,,,,
서울특별시,용산구,한식,윤경남7통황태국,02-790-3790,"서울특별시 용산구 녹사평대로26가길 9, 지층",황태국,10000,,,,,,
서울특별시,용산구,한식,원조보리밥수제비,02-798-4762,서울특별시 용산구 이태원로14길 24,감자수제비,9000,김치수제비,9000,,,,
서울특별시,용산구,한식,소문난 국수집,02-790-8494,"서울특별시 용산구 보광로 41, 1층",칼국수,8000,우동,6000,열무냉면,7000,쫄면,7000
서울특별시,용산구,한식,5빠 떡볶이,02-3789-1489,"서울특별시 용산구 후암로 37-1, 1층",떡볶이,4000,어묵,2500,,,,
서울특별시,용산구,한식,대포항,02-3211-3272,"서울특별시 용산구 새창로 116-7, 1층",삼치구이,10000,초밥,10000,,,,
서울특별시,용산구,미용업,형한나미용실,02-704-3955,"서울특별시 용산구 청파로47길 17-5, 1층",커트(여성),10000,커트(남성),8000,드라이,10000,,
서울특별시,용산구,기타비요식업,목욕하는 고양이,02-796-4648,"서울특별시 용산구 장문로 71, 1층",강아지미용,44000,,,,,,
서울특별시,용산구,기타요식업,y brew(와이브루),,서울특별시 용산구 서빙고로 17 센트럴파크몰a동 1층76호,아메리카노,1800,카페라떼,2500,,,,
서울특별시,용산구,일식,준참치,02-773-3838,서울특별시 용산구 두텁바위로 79-1 (후암동) 1층 준참치,회덮밥,9000,,,,,,
서울특별시,용산구,한식,강남화로숯불갈비,02-713-9708,서울특별시 용산구 청파로47길 56 (청파동2가) 1층,백반,8000,,,,,,
서울특별시,용산구,한식,김정문숯불갈비,02-792-6088,서울특별시 용산구 장문로 98 (보광동) 1층,된장찌게,8000,김치찌게,8000,,,,
서울특별시,용산구,한식,대도식당,02-704-2033,서울특별시 용산구 청파로93길 9 (서계동) 1층,된장찌게,8000,김치찌게,9000,,,,
서울특별시,용산구,한식,장군이네,02-712-7708,서울특별시 용산구 청파로 325 (청파동1가) 1층,버섯불고시,10000,,,,,,
서울특별시,용산구,한식,돼지집,02-794-0433,서울특별시 용산구 이태원로20길 17 (이태원동) 1층,냉동삼겹살,14000,,,,,,
서울특별시,용산구,양식,효창돈까스,02-716-1988,서울특별시 용산구 효창원로 147 (효창동) 1층,돈까스,11000,,,,,,
서울특별시,용산구,기타요식업,미스터 아메리카노,070-7868-5557,서울특별시 용산구 백범로99길 46 (한강로1가) 1층,아메리카노(Takeout),2500,,,,,,
서울특별시,용산구,중식,부자반점,02-718-7889,서울특별시 용산구 한강대로 275-1 (갈월동) 1층,짜장면,6500,볶음밥,8000,,,,
서울특별시,용산구,한식,쿠쿠스,02-798-9233,서울특별시 용산구 한강대로15길 19-2 (한강로3가) 1층,제육덮밥,8000,김밥,3500,,,,
서울특별시,용산구,중식,홍콩중화요리,,서울특별시 용산구 한강대로 367-1 (동자동) 1층,짜장면,6500,짬뽕,7500,,,,
서울특별시,용산구,한식,콩양황군,02-6369-4023,서울특별시 용산구 청파로93길 7 (서계동),황태콩나물해장국,9000,돌솥비빔밥,9000,,,,
서울특별시,용산구,기타요식업,인디에어,,서울특별시 용산구 백범로 325,아메리카노(Takeout),3000,,,,,,
서울특별시,용산구,한식,이태원그리들,,서울특별시 용산구 회나무로 30-1,삼겹살,17000,,,,,,
서울특별시,용산구,일식,좋은날,02-701-0322,서울특별시 용산구 원효로19길 3(원효로4가),초밥,13000,회덮밥,11000,,,,
서울특별시,용산구,한식,서리김밥,02-707-0936,서울특별시 용산구 원효로 220(원효로1가),서리김밥,3000,참치김밥,4500,치츠김밥,4500,,
서울특별시,용산구,한식,정가네왕김밥,,서울특별시 용산구 효창원로 91(용문동),정가네왕김밥,3000,참치김밥,4500,치츠김밥,4500,,
서울특별시,용산구,한식,맛드림,,서울특별시 용산구 한강대로84길 11-29(남영동),생대구탕,176000,,,,,,
서울특별시,용산구,한식,맛사랑,02-796-8778,서울특별시 용산구 한강대로42길 5(한강로2가),쭈꾸미비빔밥,10000,철판쭈꾸미볶음,14000,,,,
서울특별시,용산구,한식,남산집,,서울특별시 용산구 한강대로7길 10-11(한강로동),급랭삼겹살,14000,차돌박이,23000,,,,
서울특별시,용산구,기타요식업,와이브루,,"서울특별시 용산구 새창로45길 12, 1층(신계동)",아메리카노,2000,라떼,2500,,,,
서울특별시,용산구,한식,찌갠,,"서울특별시 용산구 원효로41길 60, 1층(원효로2가)",쭈꾸미(철판),14000,매운갈비찜,15000,,,,
서울특별시,용산구,미용업,은혜미용실,,"서울특별시 용산구 효창원로42길 15, 1층(용문동)",커트,10000,드라이,10000,,,,
서울특별시,용산구,미용업,라인미용실,,서울특별시 용산구 원효로42길 38-36(용문동),커트,15000,드라이,15000,,,,
서울특별시,용산구,한식,원효로돈가스*어쩌다열게된소주집,,"서울특별시 용산구 백범로 323-1, 1층 (원효로1가)",돈가스,8000,함박,9000,,,,
서울특별시,용산구,한식,용산국제회관,,서울특별시 용산구 청파로20길 49 (한강로2가),모듬스테이크(100g),18000,부대찌게,10000,,,,
서울특별시,용산구,중식,기사식당,,서울특별시 용산구 백범로 283(효창동),짜장,5000,우동,5000,,,,
서울특별시,용산구,한식,보광정 이태원점,,"서울특별시 용산구 보광로 118, 1층 (이태원동)",찌게,8000,칼국수,8000,갓김차말이국수,8000,,
서울특별시,용산구,이용업,참존이발,,"서울특별시 용산구 보광 29, 1층 (보광동)",커트,13000,,,,,,
서울특별시,용산구,한식,가장 맛있는 족발 족과의 동침,,서울특별시 용산구 한강대로 153 (한강로2가),족발(대),37000,족발(중),32000,,,,
서울특별시,용산구,미용업,로즈헤어,,"서울특별시 용산구 청파로 205-26, 301동 107호",컷트(여),17000,컷트(남),15000,,,,
서울특별시,용산구,한식,만나칼국수,,"서울특별시 용산구 청파로49길 18, 지1층01호(청파동2가,덕수빌라)",칼국수,8000,,,,,,
서울특별시,용산구,기타요식업,시온,02-792-4688,"서울특별시 용산구 한강대로7길 13, 1층",아메리카노,3300,까페라떼,4000,,,,
서울특별시,용산구,기타요식업,테폼,02-793-6926,"서울특별시 용산구 녹사평대로26길 21(이태원동, 미광빌딩 1층)",아메리카노(핫),3000,까페라떼(핫),4000,,,,
서울특별시,용산구,한식,해바라기정육식당,02-701-3012,"서울특별시 용산구 청파로 289, 1층",된장찌개,8000,김치찌개,8000,,,,
서울특별시,용산구,한식,갑을,,서울특별시 용산구 이촌로77길 19,떡만두국,10000,,,,,,
서울특별시,용산구,한식,손맛집온밥,02-702-7677,"서울특별시 용산구 원효로89길 13-3, 1층(원효로1가)",된장찌개,8000,김치찌개,8000,,,,
서울특별시,용산구,한식,통큰칼국수,02-712-9874,서울특별시 용산구 장문로 112,손칼국수,9000,,,,,,
서울특별시,용산구,기타비요식업,수네일,,"서울특별시 용산구 만리재로 196, B01호(서계동)",손젤,40000,발젤,50000,,,,
서울특별시,용산구,미용업,헤어토탈진,02-713-1447,서울특별시 용산구 효창원로8길 4,컷트,16000,,,,,,
서울특별시,용산구,한식,황제정육식당용문시장점,02-706-0892,서울특별시 용산구 새창로 128,삼겹살,7900,목살,7900,,,,
서울특별시,용산구,한식,길농원,,서울특별시 용산구 원효로 71 (원효2동),김치찌개,10000,된장찌개,10000,,,,
서울특별시,용산구,일식,시드니참치,,서울특별시 용산구 새창로 128 (용문동),참치초밥(10피스),14000,모듬참치A세트,40000,,,,
서울특별시,용산구,양식,윤토스트,,서울특별시 용산구 청파로 280-1 (청파동),토스트,2000,,,,,,
서울특별시,용산구,기타요식업,에이셉커피,,"서울특별시 용산구 한강대로30길 25, 지하1층 상가113호",아메리카노,3000,영양미숫가루,4500,,,,
